Ra,feed_rate_mm,rpm,depth_mm,filepath
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e000095c.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000b5e.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000bf2.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000cf0.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000d2a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000dbe.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000e55.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-1\1_data\e00\d00\e0000f6b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00000b1.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000136.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000149.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00001bc.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000262.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00002c8.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000305.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00003bc.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00003e2.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00004e4.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e000050a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e000059e.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00007e9.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e000091b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000937.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e000095a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00009ac.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00009ca.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00009d5.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e00009ed.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000aaf.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000b0e.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000b2d.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000ba4.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000bda.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000cdf.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000de2.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000e7b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000e95.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-10\10_data\e00\d00\e0000f9f.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000139.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000145.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000209.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000271.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e000027a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e000038e.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e00003c4.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e00004c7.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e00004cd.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000505.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e000052b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e000053b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e000068b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e000072c.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000772.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000804.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e00008b8.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000a41.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000b99.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000bce.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000be8.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000d1e.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000d3a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000d9e.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000de7.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000df9.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000f1a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-11\11_data\e00\d00\e0000f58.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e000010d.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000128.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00001ad.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00001d5.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00003a2.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00004a5.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000527.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000610.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e000061e.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00006bf.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00007e1.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00007f2.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000814.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000825.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000864.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000883.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00008d1.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00009b3.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e00009c1.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000a22.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000a76.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000a9a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000b02.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000c8f.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000cb1.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000e02.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000eb8.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-12\12_data\e00\d00\e0000f4c.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000018.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000072.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00000e5.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e000019c.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e000021b.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00002d3.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000547.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00005b6.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00005fc.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000614.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000652.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00007dd.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00007f3.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e000084f.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00008d8.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e000098c.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00009ca.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e00009f8.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000a17.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000a3a.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000b53.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000be4.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000bf5.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000c90.au
3.7,10,250,0.25,D:\Milling prediction\Milling Surface Roughness Acoustic Sensor Dataset\feed-10mm\speed-250rpm\doc-0.25mm Ra-3.7\10-250-0.25-13\13_data\e00\d00\e0000d8d.au
